Individual_n,Trial_n,Individual
1,0,0.01343019200893647
1,1,0.012087172818692093
1,2,0.01087845546598143
1,3,0.009790609930032557
1,4,0.008811548691564863
1,5,0.007930393670076197
1,6,0.007137354337000912
1,7,0.006423618983799284
1,8,0.0057812569330871755
1,9,0.005203131459975308
1,10,0.004682818301343983
1,11,0.004214536272311276
1,12,0.003793083004975384
1,13,0.0034137748781085664
1,14,0.003072397657060688
1,15,0.0027651580649853402
1,16,0.0024886418733239823
1,17,0.0022397775802255326
1,18,0.0020158000889659577
1,19,0.0018142199743033105
1,20,0.0016327983367682153
1,21,0.0014695188629866296
1,22,0.0013225673365832025
1,23,0.0011903102177620584
1,24,0.0010712788108230287
1,25,0.0009641506377101594
2,0,0.31324910001200856
2,1,0.2261976488058013
2,2,0.16244899110240163
2,3,0.11607222632807912
2,4,0.0825801976148528
2,5,0.05855302886408986
2,6,0.041409481329147235
2,7,0.02922915296000661
2,8,0.020602691930953876
2,9,0.01450740174693288
2,10,0.010207999509994403
2,11,0.007179189485732929
2,12,0.0050470717374724305
2,13,0.0035472996656340516
2,14,0.0024927742902678407
2,15,0.0017514713231963075
2,16,0.001230467123214618
2,17,0.0008643753950041688
2,18,0.0006072409574431337
2,19,0.0004265792791289247
2,20,0.00029962138575734265
2,21,0.00021051244181813367
2,22,0.00014780835551442273
2,23,0.00010382012767018445
2,24,7.29449216765321e-05
2,25,5.1189226333514526e-05
3,0,0.3709603634562082
3,1,0.2777831976201124
3,2,0.20844257743020722
3,3,0.15643999845643708
3,4,0.11733777196069428
3,5,0.0879299131121225
3,6,0.06583184868951508
3,7,0.049246558257538764
3,8,0.036813983031708686
3,9,0.027504571982819526
3,10,0.02054003746171662
3,11,0.015333720752198188
3,12,0.011443981238800971
3,13,0.008539208480317084
3,14,0.006370731898743598
3,15,0.004752406188446967
3,16,0.003544816085297553
3,17,0.002643951484162299
3,18,0.00197190911431977
3,19,0.0014706340517587346
3,20,0.0010967937197274846
3,21,0.0008179333891458196
3,22,0.0006100025858468694
3,23,0.0004548516954965276
3,24,0.0003392484869546575
3,25,0.00025297076364227955
4,0,0.04108242194441636
4,1,0.03070869545725663
4,2,0.022938306138790443
4,3,0.01712485651758988
4,4,0.012779499099529579
4,5,0.009533728168285682
4,6,0.007110605643070533
4,7,0.005302454040325477
4,8,0.003953571126736
4,9,0.0029475043275721813
4,10,0.0021973351695903087
4,11,0.0016379604795344616
4,12,0.0012209067800410534
4,13,0.0009100536563761974
4,14,0.0006783405998118663
4,15,0.0005055467346080089
4,16,0.00037683050421555286
4,17,0.00028083722380478626
4,18,0.0002093116500743175
4,19,0.00015603999880631214
4,20,0.00011626879957993275
4,21,8.66452911265636e-05
4,22,6.457667139847523e-05
4,23,4.817049292404896e-05
4,24,3.5906837261512337e-05
4,25,2.680222777207142e-05
5,0,0.34155076731363054
5,1,0.27296081174531694
5,2,0.21580207337060686
5,3,0.16899132717767473
5,4,0.13125646103540178
5,5,0.10125410545984026
5,6,0.07767564047494646
5,7,0.05932229746499773
5,8,0.04514586914697405
5,9,0.034262537848145924
5,10,0.025947391878755055
5,11,0.019617974650056325
5,12,0.01481384028115984
5,13,0.011175513159425221
5,14,0.008424639593751393
5,15,0.006347358118684254
5,16,0.004780352007539235
5,17,0.0035989879480909925
5,18,0.002709030996949635
5,19,0.002038717161805592
5,20,0.0015339850298475843
5,21,0.0011541842333387953
5,22,0.0008683799616407972
5,23,0.0006532667986464125
5,24,0.0004913805834364515
5,25,0.0003695486895155531
6,0,0.04166453458923325
6,1,0.03517137967604622
6,2,0.0296946124787949
6,3,0.02507367112297043
6,4,0.021173873325767367
6,5,0.017882020553531497
6,6,0.015102898111524432
6,7,0.012756358241619914
6,8,0.010774852117481082
6,9,0.009101466616573184
6,10,0.007688184609594195
6,11,0.006494517778935283
6,12,0.005486282860817759
6,13,0.004634651696266978
6,14,0.003915275787892192
6,15,0.003307595258536189
6,16,0.002794255843343585
6,17,0.002360615288796275
6,18,0.0019942814167164258
6,19,0.0016848066504620007
6,20,0.0014233639146707944
6,21,0.001202495178165286
6,22,0.0010159047003410748
6,23,0.0008582709040068082
6,24,0.0007251141275785855
6,25,0.000612580558242648
7,0,0.11470824690452408
7,1,0.06437403174033951
7,2,0.03668266745200943
7,3,0.021076025682600252
7,4,0.012165071684034579
7,5,0.007039966303022616
7,6,0.004080118852766268
7,7,0.00236684294334244
7,8,0.0013735911428053305
7,9,0.0007973930417616293
7,10,0.00046307058921646327
7,11,0.000268938261183016
7,12,0.00015610666862320155
7,13,9.066076865982264e-05
7,14,5.2573400648348034e-05
7,15,3.05196820814535e-05
7,16,1.776428809951991e-05
7,17,1.0313707502596081e-05
7,18,6.022173078767956e-06
7,19,3.4591733534261593e-06
7,20,2.0286618788167843e-06
7,21,1.2538014967367062e-06
7,22,6.577550489827999e-07
7,23,3.597318251058468e-07
7,24,2.4052253555506553e-07
7,25,1.2131324600428428e-07
8,0,0.28044086450054384
8,1,0.16723203414394594
8,2,0.09655105822994448
8,3,0.05457448714687563
8,4,0.03045069926693178
8,5,0.01686262839748598
8,6,0.009297845301172503
8,7,0.005114433702966936
8,8,0.00280940288021303
8,9,0.0015422081322882253
8,10,0.0008463835091803151
8,11,0.00046419852688051044
8,12,0.000254628595850237
8,13,0.00013971084072328388
8,14,7.652991726136982e-05
8,15,4.1959223291643255e-05
8,16,2.3004946253069036e-05
8,17,1.2752947351701849e-05
8,18,6.792482874162786e-06
8,19,3.931459924944036e-06
8,20,1.904902002580755e-06
8,21,1.1896462652760675e-06
8,22,7.128091070729425e-07
8,23,3.551812384205988e-07
8,24,2.3597194886981754e-07
8,25,2.3597194886981754e-07
9,0,0.21418265182989893
9,1,0.13121519167441187
9,2,0.07908014137762842
9,3,0.04713985998648462
9,4,0.027905321908176517
9,5,0.016448415112674808
9,6,0.009670294118106937
9,7,0.005676604104221439
9,8,0.003329253983677005
9,9,0.0019514330150490755
9,10,0.0011434920551186556
9,11,0.0006699927570229525
9,12,0.0003925331355935091
9,13,0.0002298720600014681
9,14,0.00013462383765039387
9,15,7.889349478540364e-05
9,16,4.623014944848958e-05
9,17,2.7156663120364577e-05
9,18,1.5831780613040358e-05
9,19,9.215665042971999e-06
9,20,5.52017706689778e-06
9,21,3.2552005654329363e-06
9,22,1.9438983803743426e-06
9,23,1.0498287087434832e-06
9,24,6.922008400911395e-07
9,25,3.9417761621418634e-07
10,0,0.2566255774910772
10,1,0.23096302120045065
10,2,0.20786672053888677
10,3,0.1870800477083051
